Name,Description,Latitude,Longitude,InfoURL,ImageURL,,,,,,,,,,,,,,,,,,,,,,
UCSB,The best UC university in California.,34.413963,-119.848946,https://www.ucsb.edu/about,https://www.news.ucsb.edu/sites/default/files/styles/article_horizontal/public/images/2017/ucsb-campus-storke-bike-circle-ucen-ocean.jpg?itok=5yKUgoUb,,,,,,,,,,,,,,,,,,,,,,
Minneopa State Park,"Beautiful state park with a waterfall, located in Minnesota.",44.1621879,-94.1021803,https://en.wikipedia.org/wiki/Minneopa_State_Park,https://www.exploreminnesota.com/sites/default/files/listing_images/dff8eeff935c91e20ab4acd3c11b3c8d38ca1e3e_38.jpg,,,,,,,,,,,,,,,,,,,,,,
Point Dume State Beach,"Private Beach in Malibu, CA",34.001408,-118.806747,https://en.wikipedia.org/wiki/Point_Dume,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Point_Dume_Climbing.JPG/568px-Point_Dume_Climbing.JPG,,,,,,,,,,,,,,,,,,,,,,
Café Du Monde Riverwalk,"The best beingets in America, located in New Orleans, LA.",29.957447,-90.061843,https://shop.cafedumonde.com/history/,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/CafeDuMonde-FacingEastfromDacatur.JPG/600px-CafeDuMonde-FacingEastfromDacatur.JPG,,,,,,,,,,,,,,,,,,,,,,
Puerto Vallarta,Vivacious city in Mexico with beautiful beaches.,20.602791,-105.233719,https://en.wikipedia.org/wiki/Puerto_Vallarta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Collage_Puerto_Vallarta.jpg/550px-Collage_Puerto_Vallarta.jpg,,,,,,,,,,,,,,,,,,,,,,
"Norwalk, CA","Hometown city, located in Los Angeles County.",33.91378,-118.070099,https://www.norwalk.org/about-us,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Norwalk_Town_Square_Shopping_Center_sign_in_Norwalk_California.jpg/278px-Norwalk_Town_Square_Shopping_Center_sign_in_Norwalk_California.jpg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
